Episode,TotalReward
942,-4.75
943,-4.9
944,-4.75
945,-6.4
946,-5.5
947,-5.0
948,-4.5
949,-2.0
950,-5.0
951,-4.0
952,-5.4
953,-3.8
954,-3.5
955,-3.05
956,-4.4
957,-2.9
958,-4.75
959,-6.0
960,-1.75
961,-1.7999999999999998
962,-2.3
963,0.7000000000000002
964,-4.0
965,-0.55
966,-5.15
967,-5.9
968,-2.8
969,-6.5
970,-5.5
971,-5.0
972,-5.25
973,-5.5
974,-0.8500000000000001
975,-4.0
976,-5.4
977,-3.65
978,-5.5
979,-3.25
980,-1.7999999999999998
981,-2.75
982,-3.25
983,-2.75
984,1.35
985,-6.5
986,-4.15
987,-5.4
988,-4.4
989,-0.6999999999999997
990,-1.0
991,-4.0
992,-4.9
993,-2.8
994,-4.9
995,-8.5
996,-0.65
997,-3.65
998,-2.9
999,-2.0999999999999996
1000,-4.65
